state,Year,cases,Deaths
Alabama,2020,32236000,526388
Alaska,2020,2854127,13147
Arizona,2020,47147078,1048821
Arkansas,2020,18406368,285868
California,2020,174969176,3065113
Colorado,2020,23442034,542870
Connecticut,2020,17214231,1119863
Delaware,2020,5154377,145664
District of Columbia,2020,3644621,146395
Florida,2020,138123133,2632238
Georgia,2020,62230196,1363977
Louisiana,2020,35116739,1184574
Maine,2020,1551410,35654
Maryland,2020,29150984,912049
Massachusetts,2020,37419301,2222455
Michigan,2020,42112852,1837617
New Hampshire,2020,2724705,102996
New Jersey,2020,57403306,3817150
New Mexico,2020,9586672,217023
New York,2020,126307878,8320598
North Carolina,2020,46306384,734456
Texas,2020,160159130,2927740
Utah,2020,20001600,111507
Vermont,2020,561055,16434
Alabama,2021,227783813,4330518
Alaska,2021,31953929,163285
Arizona,2021,350481384,6590800
Arkansas,2021,144787513,2367660
California,2021,1496462536,22532428
Colorado,2021,213349253,2613748
Connecticut,2021,126903933,2976567
Delaware,2021,41525714,626824
District of Columbia,2021,18966666,403369
Florida,2021,974170111,15333245
Georgia,2021,447392228,7791745
Louisiana,2021,205798676,4216618
Maine,2021,26854177,328660
Maryland,2021,171655810,3421061
Massachusetts,2021,263633506,6429075
Michigan,2021,366615318,7460163
New Hampshire,2021,38597303,499834
New Jersey,2021,370762769,9406432
New Mexico,2021,82074928,1581838
New York,2021,775764035,18918470
North Carolina,2021,405681441,5081693
Texas,2021,1195038606,20088817
Utah,2021,162646016,911303
Vermont,2021,10111955,100847
Alabama,2022,196542444,2929262
Alaska,2022,36785052,180499
Arizona,2022,304161889,4465496
Arkansas,2022,126160375,1689784
California,2022,1376720519,13621781
Colorado,2022,207443941,1892136
Connecticut,2022,114597924,1654872
Delaware,2022,40074724,433663
District of Columbia,2022,21368259,207537
Florida,2022,902073395,11134531
Georgia,2022,372064884,5435209
Louisiana,2022,187695018,2625364
Maine,2022,34737162,327343
Maryland,2022,156914802,2208604
Massachusetts,2022,263698465,3345036
Michigan,2022,366960234,5433579
New Hampshire,2022,46165175,373937
New Jersey,2022,343672262,5145506
New Mexico,2022,78458296,1112061
New York,2022,778639374,10443765
North Carolina,2022,397820264,3574665
Texas,2022,1016522861,13407443
Utah,2022,141642714,707779
Vermont,2022,17818617,94050