state,county,deaths,cases
Alabama,Autauga,5683,370662
Alabama,Baldwin,12446,1127507
Alabama,Barbour,2035,174840
Alabama,Bibb,2687,148219
Alabama,Blount,3855,349468
Alabama,Bullock,3163,119697
Alabama,Butler,8091,201832
Alabama,Calhoun,10868,740887
Alabama,Chambers,9840,266821
Alabama,Cherokee,2815,120792
Alabama,Chilton,4775,291187
Alabama,Choctaw,2902,73785
Alabama,Clarke,2961,223181
Alabama,Clay,2329,108488
Alabama,Cleburne,1371,81456
Alabama,Coffee,2111,305190
Alabama,Colbert,5400,382578
Alabama,Conecuh,2246,101927
Alabama,Coosa,651,41572
Alabama,Covington,5106,283436
Alabama,Crenshaw,4377,100997
Alabama,Cullman,4765,494812
Alabama,Dale,7363,293052
Alabama,Dallas,5045,350520
Alabama,DeKalb,4877,592516
Alabama,Elmore,9726,563060
Alabama,Escambia,4629,290139
Alabama,Etowah,9532,774935
Alabama,Fayette,1855,101831
Alabama,Franklin,5474,378225
Alabama,Geneva,1110,135981
Alabama,Greene,2980,69527
Alabama,Hale,5737,142583
Alabama,Henry,1088,109359
Alabama,Houston,5356,619518
Alabama,Jackson,2831,379999
Alabama,Jefferson,73355,4241109
Alabama,Lamar,838,82672
Alabama,Lauderdale,6639,450940
Alabama,Lawrence,3694,146599
Alabama,Lee,13105,1062969
Alabama,Limestone,4791,502126
Alabama,Lowndes,5735,140960
Alabama,Macon,3649,102042
Alabama,Madison,15955,1696898
Alabama,Marengo,4058,171541
Alabama,Marion,6068,193639
Alabama,Marshall,8820,877630
Alabama,Mobile,60927,2778755
Alabama,Monroe,1603,118429
Alabama,Montgomery,37490,1836756
Alabama,Morgan,6275,804949
Alabama,Perry,992,104120
Alabama,Pickens,3010,152000
Alabama,Pike,2171,229100
Alabama,Randolph,3436,137271
Alabama,Russell,481,334536
Alabama,Shelby,11738,1280177
Alabama,St. Clair,6712,512115
Alabama,Sumter,4038,99323
Alabama,Talladega,6191,440143
Alabama,Tallapoosa,19340,267773
Alabama,Tuscaloosa,23215,1664904
Alabama,Walker,15674,500720
Alabama,Washington,2909,119259
Alabama,Wilcox,2684,110796
Alabama,Winston,2715,165170
Alaska,Aleutians East Borough,0,2875
Alaska,Aleutians West Census Area,0,17883
Alaska,Anchorage,7992,1448355
Alaska,Bethel Census Area,364,102289
Alaska,Bristol Bay plus Lake and Peninsula,0,18832
Alaska,Denali Borough,0,3828
Alaska,Dillingham Census Area,38,9438
Alaska,Fairbanks North Star Borough,2176,335620
Alaska,Haines Borough,0,2224
Alaska,Juneau City and Borough,300,86134
Alaska,Kenai Peninsula Borough,673,225097
Alaska,Ketchikan Gateway Borough,0,20323
Alaska,Kodiak Island Borough,30,33528
Alaska,Kusilvak Census Area,81,32264
Alaska,Matanuska-Susitna Borough,795,303951
Alaska,Nome Census Area,0,19998
Alaska,North Slope Borough,48,41807
Alaska,Northwest Arctic Borough,0,31903
Alaska,Petersburg Borough,0,2869
Alaska,Prince of Wales-Hyder Census Area,64,5825
Alaska,Sitka City and Borough,0,17570
Alaska,Skagway Municipality,0,738
Alaska,Southeast Fairbanks Census Area,119,21088
Alaska,Unknown,0,13809
Alaska,Valdez-Cordova Census Area,130,29381
Alaska,Wrangell City and Borough,0,3181
Alaska,Yakutat plus Hoonah-Angoon,23,5009
Alaska,Yukon-Koyukuk Census Area,314,18308
Arizona,Apache,32439,834942
Arizona,Cochise,12646,478249
Arizona,Coconino,31510,994627
Arizona,Gila,11344,328861
Arizona,Graham,4589,219039
Arizona,Greenlee,410,22228
Arizona,La Paz,3091,126418
Arizona,Maricopa,608930,30144245
Arizona,Mohave,42176,885235
Arizona,Navajo,46741,1324578
Arizona,Pima,124265,5444110
Arizona,Pinal,40119,2317603
Arizona,Santa Cruz,11565,624614
Arizona,Unknown,107,13
Arizona,Yavapai,16745,672192
Arizona,Yuma,62144,2730124
Arkansas,Arkansas,1978,99987
Arkansas,Ashley,1835,99075
Arkansas,Baxter,2229,115503
Arkansas,Benton,18733,1510270
Arkansas,Boone,4050,166872
Arkansas,Bradley,1225,67265
Arkansas,Calhoun,37,11947
Arkansas,Carroll,2536,160475
Arkansas,Chicot,3198,171422
Arkansas,Clark,1054,89904
Arkansas,Clay,2130,84409
Arkansas,Cleburne,2785,88145
Arkansas,Cleveland,1621,41703
Arkansas,Columbia,3449,113149
Arkansas,Conway,981,72955
Arkansas,Craighead,7674,730103
Arkansas,Crawford,3852,324006
Arkansas,Crittenden,8239,429641
Arkansas,Cross,2659,98229
Arkansas,Dallas,696,32820
Arkansas,Desha,1032,69245
Arkansas,Drew,1192,88039
Arkansas,Faulkner,5465,555777
Arkansas,Franklin,1056,76393
Arkansas,Fulton,1275,49114
Arkansas,Garland,10534,426518
Arkansas,Grant,562,65383
Arkansas,Greene,2830,273055
Arkansas,Hempstead,924,93727
Arkansas,Hot Spring,4934,387859
Arkansas,Howard,1752,100883
Arkansas,Independence,6092,224445
Arkansas,Izard,480,82694
Arkansas,Jackson,851,147287
Arkansas,Jefferson,15478,644732
Arkansas,Johnson,1246,176017
Arkansas,Lafayette,534,27181
Arkansas,Lawrence,3578,120924
Arkansas,Lee,2683,207650
Arkansas,Lincoln,3367,419650
Arkansas,Little River,4137,71541
Arkansas,Logan,575,101164
Arkansas,Lonoke,4403,281149
Arkansas,Madison,806,83727
Arkansas,Marion,519,33609
Arkansas,Miller,2440,221173
Arkansas,Mississippi,8827,365261
Arkansas,Monroe,272,32879
Arkansas,Montgomery,1104,30998
Arkansas,Nevada,2268,52758
Arkansas,Newton,2805,45995
Arkansas,Ouachita,1395,72802
Arkansas,Perry,230,26573
Arkansas,Phillips,2382,113007
Arkansas,Pike,394,45707
Arkansas,Poinsett,3780,168165
Arkansas,Polk,1236,78041
Arkansas,Pope,5198,456667
Arkansas,Prairie,664,37709
Arkansas,Pulaski,34532,2027440
Arkansas,Randolph,3558,104690
Arkansas,Saline,5689,513355
Arkansas,Scott,293,34664
Arkansas,Searcy,253,32470
Arkansas,Sebastian,12644,789668
Arkansas,Sevier,2901,255985
Arkansas,Sharp,2084,68184
Arkansas,St. Francis,1592,330667
Arkansas,Stone,2295,58187
Arkansas,Union,7480,195244
Arkansas,Unknown,6,358737
Arkansas,Van Buren,735,43635
Arkansas,Washington,21661,1985759
Arkansas,White,5006,268318
Arkansas,Woodruff,46,18864
Arkansas,Yell,4832,257123
California,Alameda,75187,4319856
California,Alpine,0,2827
California,Amador,2343,85707
California,Butte,7094,516050
California,Calaveras,2172,65984
California,Colusa,955,100912
California,Contra Costa,40409,3292835
California,Del Norte,154,41567
California,El Dorado,700,294763
California,Fresno,66630,5401142
California,Glenn,811,115881
California,Humboldt,1538,115677
California,Imperial,56509,2486469
California,Inyo,2197,39360
California,Kern,62450,6042885
California,Kings,14307,1521392
California,Lake,1970,112498
California,Lassen,238,226223
California,Los Angeles,1331978,59976957
California,Madera,11722,839936
California,Marin,19948,1243628
California,Mariposa,445,17618
California,Mendocino,3037,187074
California,Merced,24119,1649808
California,Modoc,2,12030
California,Mono,464,54922
California,Monterey,15445,1997925
California,Napa,2818,384599
California,Nevada,1854,147546
California,Orange,225712,11731923
California,Placer,9737,838843
California,Plumas,7,18471
California,Riverside,233000,12947120
California,Sacramento,77308,4674911
California,San Benito,2292,261093
California,San Bernardino,171282,12451039
California,San Diego,167372,10827207
California,San Francisco,23513,2289679
California,San Joaquin,72833,3823964
California,San Luis Obispo,5318,768331
California,San Mateo,33271,2089742
California,Santa Barbara,19782,1801597
California,Santa Clara,74379,4664377
California,Santa Cruz,4073,537760
California,Shasta,5204,407494
California,Sierra,0,1541
California,Siskiyou,258,58878
California,Solano,12578,1377978
California,Sonoma,19779,1530293
California,Stanislaus,59545,3207195
California,Sutter,2754,391378
California,Tehama,1991,164470
California,Trinity,45,10621
California,Tulare,52701,3125147
California,Tuolumne,1072,102183
California,Unknown,4,7
California,Ventura,27823,2713987
California,Yolo,12435,607446
California,Yuba,1549,250430
Colorado,Adams,55585,2987086
Colorado,Alamosa,2123,74118
Colorado,Arapahoe,93253,2994287
Colorado,Archuleta,0,21869
Colorado,Baca,8,9609
Colorado,Bent,211,24789
Colorado,Boulder,21942,1110606
Colorado,Broomfield,8883,209279
Colorado,Chaffee,4936,83452
Colorado,Cheyenne,88,5049
Colorado,Clear Creek,293,17548
Colorado,Conejos,145,16036
Colorado,Costilla,156,9894
Colorado,Crowley,559,77278
Colorado,Custer,0,7128
Colorado,Delta,1034,70023
Colorado,Denver,106971,4019537
Colorado,Dolores,0,1740
Colorado,Douglas,17515,986875
Colorado,Eagle,2520,338855
Colorado,El Paso,47096,2548795
Colorado,Elbert,744,57250
Colorado,Fremont,514,196199
Colorado,Garfield,1482,257918
Colorado,Gilpin,31,7517
Colorado,Grand,276,33703
Colorado,Gunnison,1673,78072
Colorado,Hinsdale,0,1153
Colorado,Huerfano,629,12004
Colorado,Jackson,0,2251
Colorado,Jefferson,69552,2027485
Colorado,Kiowa,29,2221
Colorado,Kit Carson,945,29535
Colorado,La Plata,877,116163
Colorado,Lake,0,30104
Colorado,Larimer,12264,924342
Colorado,Las Animas,109,19544
Colorado,Lincoln,47,24647
Colorado,Logan,3089,274126
Colorado,Mesa,4909,418682
Colorado,Mineral,23,4404
Colorado,Moffat,664,23636
Colorado,Montezuma,1306,63488
Colorado,Montrose,3624,125956
Colorado,Morgan,11781,226881
Colorado,Otero,1617,61425
Colorado,Ouray,360,10051
Colorado,Park,302,22660
Colorado,Phillips,167,14693
Colorado,Pitkin,573,65095
Colorado,Prowers,871,49097
Colorado,Pueblo,14899,646704
Colorado,Rio Blanco,72,11557
Colorado,Rio Grande,543,29028
Colorado,Routt,2131,61898
Colorado,Saguache,485,30329
Colorado,San Juan,0,1829
Colorado,San Miguel,0,26767
Colorado,Sedgwick,191,7719
Colorado,Summit,918,158089
Colorado,Teller,890,59737
Colorado,Unknown,35,6823
Colorado,Washington,389,23610
Colorado,Weld,40293,1547929
Colorado,Yuma,248,35860
Connecticut,Fairfield,353607,5920424
Connecticut,Hartford,354064,4264912
Connecticut,Litchfield,36572,600463
Connecticut,Middlesex,46283,504691
Connecticut,New Haven,276756,4415214
Connecticut,New London,30195,709833
Connecticut,Tolland,17274,398645
Connecticut,Unknown,159,86781
Connecticut,Windham,4953,313268
Delaware,Kent,25851,766563
Delaware,New Castle,70945,2637082
Delaware,Sussex,48853,1713448
Delaware,Unknown,15,37284
Florida,Alachua,11382,1541591
Florida,Baker,3239,256360
Florida,Bay,19147,1127568
Florida,Bradford,2063,185658
Florida,Brevard,53266,1900201
Florida,Broward,254355,15184060
Florida,Calhoun,2698,118466
Florida,Charlotte,29562,661325
Florida,Citrus,20136,552253
Florida,Clay,20717,1012841
Florida,Collier,42064,2578370
Florida,Columbia,10434,673381
Florida,DeSoto,5463,325820
Florida,Dixie,1517,135198
Florida,Duval,75627,6021293
Florida,Escambia,41943,2339366
Florida,Flagler,5223,346073
Florida,Franklin,550,104921
Florida,Gadsden,7617,480190
Florida,Gilchrist,2282,100444
Florida,Glades,1077,99486
Florida,Gulf,2287,147042
Florida,Hamilton,1426,159846
Florida,Hardee,2228,254119
Florida,Hendry,8358,413531
Florida,Hernando,23965,626903
Florida,Highlands,17680,450851
Florida,Hillsborough,124091,8217627
Florida,Holmes,1623,149634
Florida,Indian River,19116,654832
Florida,Jackson,12550,511538
Florida,Jefferson,1759,103870
Florida,Lafayette,2070,182202
Florida,Lake,31735,1449706
Florida,Lee,89851,4205959
Florida,Leon,14949,1854478
Florida,Levy,1721,190288
Florida,Liberty,1591,101694
Florida,Madison,3594,182737
Florida,Manatee,59210,2336760
Florida,Marion,46680,1739926
Florida,Martin,25117,958531
Florida,Miami-Dade,581489,33036396
Florida,Monroe,3966,404045
Florida,Nassau,6671,403631
Florida,Okaloosa,19541,1072588
Florida,Okeechobee,4880,279833
Florida,Orange,84857,7989282
Florida,Osceola,30777,2478503
Florida,Palm Beach,263141,9329977
Florida,Pasco,37387,1932695
Florida,Pinellas,133666,4549325
Florida,Polk,95209,3809838
Florida,Putnam,7734,398453
Florida,Santa Rosa,13439,1015713
Florida,Sarasota,54852,1722982
Florida,Seminole,36397,1823333
Florida,St. Johns,12541,1109266
Florida,St. Lucie,50361,1518137
Florida,Sumter,13610,462427
Florida,Suwannee,13053,473833
Florida,Taylor,2309,222786
Florida,Union,5035,153907
Florida,Unknown,45,298430
Florida,Volusia,48354,2166172
Florida,Wakulla,1829,205495
Florida,Walton,5082,427588
Florida,Washington,4050,201559
Georgia,Appling,6130,197080
Georgia,Atkinson,1007,88156
Georgia,Bacon,2729,119374
Georgia,Baker,1033,19339
Georgia,Baldwin,11835,380511
Georgia,Banks,1509,102217
Georgia,Barrow,9360,456504
Georgia,Bartow,18077,664035
Georgia,Ben Hill,4196,146494
Georgia,Berrien,2429,96775
Georgia,Bibb,30524,1092627
Georgia,Bleckley,3577,89879
Georgia,Brantley,2139,93754
Georgia,Brooks,4950,104963
Georgia,Bryan,2568,203640
Georgia,Bulloch,5832,488052
Georgia,Burke,2348,164828
Georgia,Butts,9169,157599
Georgia,Calhoun,1931,56707
Georgia,Camden,2327,237126
Georgia,Candler,3460,80021
Georgia,Carroll,15020,683872
Georgia,Catoosa,3750,257353
Georgia,Charlton,1788,113221
Georgia,Chatham,28643,1529891
Georgia,Chattahoochee,317,274008
Georgia,Chattooga,3684,146289
Georgia,Cherokee,18478,1326975
Georgia,Clarke,8322,955760
Georgia,Clay,642,24688
Georgia,Clayton,32311,1493989
Georgia,Clinch,1635,72119
Georgia,Cobb,88649,4129249
Georgia,Coffee,10205,422102
Georgia,Colquitt,7415,414727
Georgia,Columbia,10418,802019
Georgia,Cook,2488,117971
Georgia,Coweta,9304,644912
Georgia,Crawford,744,35798
Georgia,Crisp,4566,140768
Georgia,Dade,914,62056
Georgia,Dawson,1578,155760
Georgia,Decatur,5599,224587
Georgia,DeKalb,72278,3959866
Georgia,Dodge,4093,118964
Georgia,Dooly,3837,81212
Georgia,Dougherty,45256,737932
Georgia,Douglas,14573,778380
Georgia,Early,8294,113959
Georgia,Echols,344,52489
Georgia,Effingham,3809,270963
Georgia,Elbert,1898,139483
Georgia,Emanuel,5422,183614
Georgia,Evans,1212,74367
Georgia,Fannin,3757,127354
Georgia,Fayette,9597,408817
Georgia,Floyd,10412,656120
Georgia,Forsyth,8935,865091
Georgia,Franklin,2561,155600
Georgia,Fulton,119514,5782192
Georgia,Gilmer,3032,178806
Georgia,Glascock,293,10234
Georgia,Glynn,15373,631255
Georgia,Gordon,8400,415333
Georgia,Grady,3791,147015
Georgia,Greene,4266,102432
Georgia,Gwinnett,80659,5663706
Georgia,Habersham,13679,355502
Georgia,Hall,30014,1914707
Georgia,Hancock,8717,84044
Georgia,Haralson,2719,132430
Georgia,Harris,4354,161563
Georgia,Hart,2731,107551
Georgia,Heard,1205,48328
Georgia,Henry,19088,1150536
Georgia,Houston,15889,657637
Georgia,Irwin,1277,59714
Georgia,Jackson,6856,424153
Georgia,Jasper,762,60394
Georgia,Jeff Davis,3596,134038
Georgia,Jefferson,4535,141284
Georgia,Jenkins,5299,72480
Georgia,Johnson,3693,78698
Georgia,Jones,2009,105930
Georgia,Lamar,3527,90541
Georgia,Lanier,1339,60211
Georgia,Laurens,12020,335684
Georgia,Lee,6791,171367
Georgia,Liberty,3470,206053
Georgia,Lincoln,1296,42688
Georgia,Long,629,45491
Georgia,Lowndes,15018,860392
Georgia,Lumpkin,2542,168061
Georgia,Macon,2532,54226
Georgia,Madison,2183,145285
Georgia,Marion,1473,40006
Georgia,McDuffie,3090,122993
Georgia,McIntosh,1127,52802
Georgia,Meriwether,2402,115814
Georgia,Miller,265,53624
Georgia,Mitchell,10933,180717
Georgia,Monroe,8921,145096
Georgia,Montgomery,1042,55777
Georgia,Morgan,708,102255
Georgia,Murray,2132,208575
Georgia,Muscogee,28706,1141744
Georgia,Newton,14666,542748
Georgia,Oconee,5036,175445
Georgia,Oglethorpe,2391,75402
Georgia,Paulding,10482,636032
Georgia,Peach,4225,137833
Georgia,Pickens,2150,136663
Georgia,Pierce,3716,154406
Georgia,Pike,2082,94217
Georgia,Polk,3881,298444
Georgia,Pulaski,3043,58192
Georgia,Putnam,4868,137804
Georgia,Quitman,261,9682
Georgia,Rabun,1639,75976
Georgia,Randolph,6763,73439
Georgia,Richmond,30556,1376105
Georgia,Rockdale,7592,389112
Georgia,Schley,405,22992
Georgia,Screven,2155,70299
Georgia,Seminole,1679,67839
Georgia,Spalding,12412,318629
Georgia,Stephens,6016,209739
Georgia,Stewart,2332,88847
Georgia,Sumter,14590,223565
Georgia,Talbot,1204,35726
Georgia,Taliaferro,0,4573
Georgia,Tattnall,2484,151791
Georgia,Taylor,1751,44540
Georgia,Telfair,3553,86160
Georgia,Terrell,7683,82232
Georgia,Thomas,13289,304053
Georgia,Tift,11443,372076
Georgia,Toombs,7624,236365
Georgia,Towns,2448,67023
Georgia,Treutlen,1570,48465
Georgia,Troup,17978,596588
Georgia,Turner,4916,72125
Georgia,Twiggs,1687,36221
Georgia,Union,3900,131900
Georgia,Unknown,1012,557231
Georgia,Upson,13832,207983
Georgia,Walker,6416,316976
Georgia,Walton,11641,419781
Georgia,Ware,10827,351196
Georgia,Warren,862,28547
Georgia,Washington,2631,142521
Georgia,Wayne,5002,212059
Georgia,Webster,450,9976
Georgia,Wheeler,1955,53107
Georgia,White,3485,163969
Georgia,Whitfield,11427,1002619
Georgia,Wilcox,5097,59793
Georgia,Wilkes,1026,57591
Georgia,Wilkinson,3159,65048
Georgia,Worth,6910,127181
Hawaii,Hawaii,3156,164214
Hawaii,Honolulu,21421,1842606
Hawaii,Kalawao,0,22
Hawaii,Kauai,37,15271
Hawaii,Maui,2607,107138
Idaho,Ada,30364,3020647
Idaho,Adams,241,11231
Idaho,Bannock,2714,396378
Idaho,Bear Lake,124,15520
Idaho,Benewah,394,31014
Idaho,Bingham,2820,251072
Idaho,Blaine,1692,203479
Idaho,Boise,254,16399
Idaho,Bonner,491,100177
Idaho,Bonneville,5842,717787
Idaho,Boundary,274,29320
Idaho,Butte,0,11267
Idaho,Camas,0,5064
Idaho,Canyon,18494,1778085
Idaho,Caribou,627,37389
Idaho,Cassia,1578,215304
Idaho,Clark,0,5422
Idaho,Clearwater,115,37385
Idaho,Custer,119,14323
Idaho,Elmore,910,95785
Idaho,Franklin,376,56922
Idaho,Fremont,784,63736
Idaho,Gem,818,88522
Idaho,Gooding,754,91135
Idaho,Idaho,556,60087
Idaho,Jefferson,786,146739
Idaho,Jerome,1757,200387
Idaho,Kootenai,8134,776898
