year,state,cases,deaths
2020,Alabama,32236000,526388
2020,Alaska,2854127,13147
2020,Arizona,47147078,1048821
2020,Arkansas,18406368,285868
2020,California,174969176,3065113
2020,Colorado,23442034,542870
2020,Connecticut,17214231,1119863
2020,Delaware,5154377,145664
2020,District of Columbia,3644621,146395
2020,Florida,138123133,2632238
2020,Georgia,62230196,1363977
2020,Guam,869347,10424
2020,Hawaii,2129453,27227
2020,Idaho,10608658,109143
2020,Illinois,82118324,2211390
2020,Indiana,35947357,920773
2020,Iowa,23267720,335716
2020,Kansas,15948027,187629
2020,Kentucky,18801566,285739
2020,Louisiana,35116739,1184574
2020,Maine,1551410,35654
2020,Maryland,29150984,912049
2020,Massachusetts,37419301,2222455
2020,Michigan,42112852,1837617
2020,Minnesota,29868387,531337
2020,Mississippi,20500999,572569
2020,Missouri,31469332,530055
2020,Montana,5007382,58866
2020,Nebraska,13158427,132992
2020,Nevada,18286722,319370
2020,New Hampshire,2724705,102996
2020,New Jersey,57403306,3817150
2020,New Mexico,9586672,217023
2020,New York,126307878,8320598
2020,North Carolina,46306384,734456
2020,North Dakota,6682198,87065
2020,Northern Mariana Islands,15491,544
2020,Ohio,44885224,1062373
2020,Oklahoma,20512540,233760
2020,Oregon,8343602,128396
2020,Pennsylvania,47304959,2002629
2020,Puerto Rico,9730415,134516
2020,Rhode Island,7357021,262024
2020,South Carolina,29321200,618708
2020,South Dakota,7219457,86828
2020,Tennessee,43836216,540030
2020,Texas,160159130,2927740
2020,Utah,20001600,111490
2020,Vermont,561055,16434
2020,Virgin Islands,216310,3503
2020,Virginia,32850541,668990
2020,Washington,21937303,504771
2020,West Virginia,4681431,84127
2020,Wisconsin,37998809,410977
2020,Wyoming,2591448,20734
2021,Alabama,191860244,3647813
2021,Alaska,25570284,126057
2021,American Samoa,191,0
2021,Arizona,295551128,5624201
2021,Arkansas,122173357,1996288
2021,California,1278936139,19366783
2021,Colorado,177253474,2202902
2021,Connecticut,108165572,2599570
2021,Delaware,34765371,533743
2021,District of Columbia,15920847,352918
2021,Florida,816131253,12734831
2021,Georgia,377694957,6545610
2021,Guam,3544657,50138
2021,Hawaii,14325886,178729
2021,Idaho,66189297,734195
2021,Illinois,447711654,8050121
2021,Indiana,251209184,4395177
2021,Iowa,123373730,1920238
2021,Kansas,108295309,1661880
2021,Kentucky,162436144,2212097
2021,Louisiana,172996518,3592063
2021,Maine,21422311,270600
2021,Maryland,146112282,2947651
2021,Massachusetts,222519971,5602712
2021,Michigan,301270231,6334376
2021,Minnesota,193339604,2402945
2021,Mississippi,115032787,2470502
2021,Missouri,213010929,3196037
2021,Montana,38716326,535560
2021,Nebraska,73692742,791793
2021,Nevada,111152733,1859203
2021,New Hampshire,31282312,424717
2021,New Jersey,315215837,8206080
2021,New Mexico,68322668,1350391
2021,New York,654153255,16496861
2021,North Carolina,339677765,4284452
2021,North Dakota,36712992,503477
2021,Northern Mariana Islands,63884,686
2021,Ohio,367433293,6176661
2021,Oklahoma,156576164,2204220
2021,Oregon,71944411,926527
2021,Pennsylvania,380325344,8573554
2021,Puerto Rico,55280756,802134
2021,Rhode Island,47837004,849449
2021,South Carolina,203148310,3199240
2021,South Dakota,40728720,643347
2021,Tennessee,293516354,4036635
2021,Texas,1010541228,16945851
2021,Utah,137050877,759004
2021,Vermont,7806566,82670
2021,Virgin Islands,1366330,12961
2021,Virginia,221000720,3439710
2021,Washington,151213519,1949356
2021,West Virginia,55404077,937610
2021,Wisconsin,223318391,2525488
2021,Wyoming,21651706,253765
2022,Alabama,261917678,3877853
2022,Alaska,49893680,240619
2022,American Samoa,717754,2875
2022,Arizona,406224161,5930285
2022,Arkansas,167875703,2245881
2022,California,1863961374,18063069
2022,Colorado,281386696,2514979
2022,Connecticut,154495041,2185132
2022,Delaware,53778012,577144
2022,District of Columbia,28893864,272439
2022,Florida,1213631351,14776955
2022,Georgia,495664761,7214869
2022,Guam,9276513,69971
2022,Hawaii,49999270,280746
2022,Idaho,88407571,985402
2022,Illinois,640985413,7611687
2022,Indiana,345499221,4720357
2022,Iowa,154646534,1903156
2022,Kansas,156283001,1717415
2022,Kentucky,266066132,3045425
2022,Louisiana,250752049,3461567
2022,Maine,47699605,444047
2022,Maryland,211458536,2918646
2022,Massachusetts,356073143,4350175
2022,Michigan,492110419,7204638
2022,Minnesota,293200261,2568831
2022,Mississippi,160763131,2483910
2022,Missouri,291612409,4041942
2022,Montana,54837855,670449
2022,Nebraska,96250919,837420
2022,Nevada,144930549,2095629
2022,New Hampshire,62118310,498141
2022,New Jersey,463469357,6779328
2022,New Mexico,105547070,1494582
2022,New York,1048030503,13755467
2022,North Carolina,535584076,4786477
2022,North Dakota,48559213,466712
2022,Northern Mariana Islands,1998462,6259
2022,Ohio,550103830,7584943
2022,Oklahoma,208374549,2804719
2022,Oregon,145595531,1460116
2022,Pennsylvania,574565633,8981553
2022,Puerto Rico,122687717,859148
2022,Rhode Island,75200580,714488
2022,South Carolina,297040925,3531531
2022,South Dakota,48144572,583707
2022,Tennessee,398784262,5117121
2022,Texas,1358818574,17676244
2022,Utah,188767969,939734
2022,Vermont,24323555,126828
2022,Virgin Islands,3495815,22514
2022,Virginia,345390234,3945953
2022,Washington,300182106,2530369
2022,West Virginia,100613878,1351519
2022,Wisconsin,327278537,2848272
2022,Wyoming,31681017,362208